All_Words
timrobbins morganfreeman bobgunton frankdarabont crime  drama T h e   S h a w s h a n k   R e d e m p t i o n two imprisoned men bond common decency finding solace acts years eventual redemption number t i m r o b b i n s   m o r g a n f r e e m a n   b o b g u n t o n   f r a n k d a r a b o n t   c r i m e     d r a m a   T   h   e       S   h   a   w   s   h   a   n   k       R   e   d   e   m   p   t   i   o   n   t w o   i m p r i s o n e d   m e n   b o n d   c o m m o n   d e c e n c y   f i n d i n g   s o l a c e   a c t s   y e a r s   e v e n t u a l   r e d e m p t i o n   n u m b e r   
marlonbrando alpacino jamescaan francisfordcoppola crime  drama T h e   G o d f a t h e r organized crime dynasty transfers control aging patriarch clandestine empire reluctant son m a r l o n b r a n d o   a l p a c i n o   j a m e s c a a n   f r a n c i s f o r d c o p p o l a   c r i m e     d r a m a   T   h   e       G   o   d   f   a   t   h   e   r   o r g a n i z e d   c r i m e   d y n a s t y   t r a n s f e r s   c o n t r o l   a g i n g   p a t r i a r c h   c l a n d e s t i n e   e m p i r e   r e l u c t a n t   s o n   
alpacino robertduvall dianekeaton francisfordcoppola crime  drama T h e   G o d f a t h e r :   P a r t   I I michael family crime syndicate career grip portrayed 1920s new york expands tightens son vito corleone early life a l p a c i n o   r o b e r t d u v a l l   d i a n e k e a t o n   f r a n c i s f o r d c o p p o l a   c r i m e     d r a m a   T   h   e       G   o   d   f   a   t   h   e   r   :       P   a   r   t       I   I   m i c h a e l   f a m i l y   c r i m e   s y n d i c a t e   c a r e e r   g r i p   p o r t r a y e d   1 9 2 0 s   n e w   y o r k   e x p a n d s   t i g h t e n s   s o n   v i t o   c o r l e o n e   e a r l y   l i f e   
christianbale heathledger aaroneckhart christophernolan action  crime  drama T h e   D a r k   K n i g h t ability wreaks havoc fight injustice gotham chaos greatest psychological menace known dark knight must accept one joker emerges mysterious past people physical tests c h r i s t i a n b a l e   h e a t h l e d g e r   a a r o n e c k h a r t   c h r i s t o p h e r n o l a n   a c t i o n     c r i m e     d r a m a   T   h   e       D   a   r   k       K   n   i   g   h   t   a b i l i t y   w r e a k s   h a v o c   f i g h t   i n j u s t i c e   g o t h a m   c h a o s   g r e a t e s t   p s y c h o l o g i c a l   m e n a c e   k n o w n   d a r k   k n i g h t   m u s t   a c c e p t   o n e   j o k e r   e m e r g e s   m y s t e r i o u s   p a s t   p e o p l e   p h y s i c a l   t e s t s   
martinbalsam johnfiedler leej.cobb sidneylumet crime  drama 1 2   A n g r y   M e n reconsider prevent jury holdout attempts colleagues evidence forcing miscarriage justice m a r t i n b a l s a m   j o h n f i e d l e r   l e e j . c o b b   s i d n e y l u m e t   c r i m e     d r a m a   1   2       A   n   g   r   y       M   e   n   r e c o n s i d e r   p r e v e n t   j u r y   h o l d o u t   a t t e m p t s   c o l l e a g u e s   e v i d e n c e   f o r c i n g   m i s c a r r i a g e   j u s t i c e   
liamneeson benkingsley ralphfiennes stevenspielberg biography  drama  history S c h i n d l e r ' s   L i s t jewish workforce occupied poland witnessing persecution world war ii german nazi germans oskar schindler gradually becomes concerned l i a m n e e s o n   b e n k i n g s l e y   r a l p h f i e n n e s   s t e v e n s p i e l b e r g   b i o g r a p h y     d r a m a     h i s t o r y   S   c   h   i   n   d   l   e   r   '   s       L   i   s   t   j e w i s h   w o r k f o r c e   o c c u p i e d   p o l a n d   w i t n e s s i n g   p e r s e c u t i o n   w o r l d   w a r   i i   g e r m a n   n a z i   g e r m a n s   o s k a r   s c h i n d l e r   g r a d u a l l y   b e c o m e s   c o n c e r n e d   
noelappleby aliastin seanastin peterjackson adventure  drama  fantasy T h e   L o r d   o f   t h e   R i n g s :   T h e   R e t u r n   o f   t h e   K i n g army men aragorn lead gandalf gaze world frodo one ring approach mount doom draw sauron sam n o e l a p p l e b y   a l i a s t i n   s e a n a s t i n   p e t e r j a c k s o n   a d v e n t u r e     d r a m a     f a n t a s y   T   h   e       L   o   r   d       o   f       t   h   e       R   i   n   g   s   :       T   h   e       R   e   t   u   r   n       o   f       t   h   e       K   i   n   g   a r m y   m e n   a r a g o r n   l e a d   g a n d a l f   g a z e   w o r l d   f r o d o   o n e   r i n g   a p p r o a c h   m o u n t   d o o m   d r a w   s a u r o n   s a m   
timroth amandaplummer lauralovelace quentintarantino crime  drama P u l p   F i c t i o n redemption lives boxer four tales two mob hit men violence pair diner bandits intertwine wife gangster t i m r o t h   a m a n d a p l u m m e r   l a u r a l o v e l a c e   q u e n t i n t a r a n t i n o   c r i m e     d r a m a   P   u   l   p       F   i   c   t   i   o   n   r e d e m p t i o n   l i v e s   b o x e r   f o u r   t a l e s   t w o   m o b   h i t   m e n   v i o l e n c e   p a i r   d i n e r   b a n d i t s   i n t e r t w i n e   w i f e   g a n g s t e r   
edwardnorton bradpitt meatloaf davidfincher drama F i g h t   C l u b insomniac office worker forming evolves life may underground fight club change crosses paths devil much care soap maker looking way something e d w a r d n o r t o n   b r a d p i t t   m e a t l o a f   d a v i d f i n c h e r   d r a m a   F   i   g   h   t       C   l   u   b   i n s o m n i a c   o f f i c e   w o r k e r   f o r m i n g   e v o l v e s   l i f e   m a y   u n d e r g r o u n d   f i g h t   c l u b   c h a n g e   c r o s s e s   p a t h s   d e v i l   m u c h   c a r e   s o a p   m a k e r   l o o k i n g   w a y   s o m e t h i n g   
alanhoward noelappleby seanastin peterjackson adventure  drama  fantasy T h e   L o r d   o f   t h e   R i n g s :   T h e   F e l l o w s h i p   o f   t h e   R i n g powerful one ring dark lord sauron journey shire save middle earth destroy meek hobbit eight companions set a l a n h o w a r d   n o e l a p p l e b y   s e a n a s t i n   p e t e r j a c k s o n   a d v e n t u r e     d r a m a     f a n t a s y   T   h   e       L   o   r   d       o   f       t   h   e       R   i   n   g   s   :       T   h   e       F   e   l   l   o   w   s   h   i   p       o   f       t   h   e       R   i   n   g   p o w e r f u l   o n e   r i n g   d a r k   l o r d   s a u r o n   j o u r n e y   s h i r e   s a v e   m i d d l e   e a r t h   d e s t r o y   m e e k   h o b b i t   e i g h t   c o m p a n i o n s   s e t   
